Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-04-26,I.A.1,JPY,N,SP-1,14004.085,15264.56,Day 4,0.0,,A-2-Q,Y,Trading Asset,151 - 179 Days,FHLB,ENTITY-17,Markets,2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-26,I.A.2,CAD,N,SP-1,2463.518,37680.282,Day 56,0.0,,A-5-Q,N,Trading Asset,Perpetual,FHLB,ENTITY-18,Commercial Banking,2026-06-21,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-26,I.A.3,USD,Y,SP-9,11910.459,3521.823,Day 21,0.0,,S-1-Q,Y,Available-for-Sale,Day 1,FHLB,ENTITY-12,Markets,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-26,I.A.4,CNY,N,SP-7,13868.722,24361.565,>3 Yr <= 4 Yr,0.0,,G-2-Q,N,Trading Asset,>5 Yr,FHLB,ENTITY-09,Wealth Management,2029-07-12,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-26,I.A.5,JPY,N,SP-6,2850.838,35895.228,Day 15,0.0,,A-5,Y,Available-for-Sale,Perpetual,Other,ENTITY-13,Markets,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-26,I.A.6,CHF,N,SP-6,14815.899,30985.907,Day 14,0.0,,LC-2,Y,Not Applicable,>2 Yr <= 3 Yr,Central Bank,ENTITY-07,Wealth Management,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-26,I.A.7,USD,Y,SP-1,17974.163,44998.688,Day 28,0.0,,A-2,Y,Not Applicable,>= 1 Yr <= 2 Yr,Derivatives,ENTITY-06,Prime Brokerage,2026-05-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.1,USD,Y,,,,Day 35,0.0,,,,,180 - 270 Days,Central Bank,,Markets,2026-05-31,PSE,N,9746.519,Puttable,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.2,AUD,N,,,,Day 10,0.0,,,,,271 - 364 Days,Other,ENTITY-04,Retail Banking,2026-05-06,Non-Regulated Fund,Y,34922.811,Callable,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.3,JPY,N,,,,151 - 179 Days,0.0,,,,,Day 90,Central Bank,ENTITY-11,Retail Banking,2026-09-24,Debt Issuing SPE,N,22322.858,Puttable,Y,153.18,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.4,AUD,N,,,,83 - 90 Days,0.0,,,,,>5 Yr,Other,ENTITY-18,Markets,2026-07-19,Retail,N,19786.729,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.5,USD,N,,,,Day 58,0.0,,,,,Day 60,FHLB,,Commercial Banking,2026-06-23,Investment Company or Advisor,Y,45250.469,NULL,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.6,CNY,N,,,,75 - 82 Days,43418.891,Day 41,,,,Open,Central Bank,,Prime Brokerage,2026-07-15,Non-Regulated Fund,Y,3180.144,Callable,N,283.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.7,USD,Y,,,,68 - 74 Days,0.0,,,,,>3 Yr <= 4 Yr,NULL,,Prime Brokerage,2026-07-08,GSE,N,13383.164,Puttable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-26,I.U.8,HKD,N,,,,Day 58,0.0,,,,,121 - 150 Days,Central Bank,ENTITY-07,Treasury,2026-06-23,Retail,N,9545.755,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-04-26,I.S.1,EUR,N,SP-3,,,Day 53,15475.957,Day 8,CB-1-Q,N,,>4 Yr <= 5 Yr,Securities Lending,,Retail Banking,2026-06-18,Broker-Dealer,Y,15984.293,NULL,N,150.0,2656.919,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-04-26,I.S.2,HKD,N,SP-3,,,Perpetual,0.0,,A-1-Q,Y,,91 - 120 Days,NULL,,Wealth Management,,Bank,N,53873.593,NULL,N,0.0,6563.95,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-04-26,I.S.3,USD,Y,SP-6,,,Day 55,29688.397,Day 21,A-1-Q,N,,>5 Yr,Repo,,Wealth Management,2026-06-20,Bank,N,37491.247,Callable,N,0.0,57297.816,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-04-26,I.S.4,SGD,N,SP-8,,,Day 37,17890.738,Day 21,CB-1-Q,N,,Day 60,Central Bank,ENTITY-06,Retail Banking,2026-06-02,Broker-Dealer,Y,55230.538,Extendable,Y,100.0,39114.529,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-04-26,I.S.5,CAD,N,SP-7,,,Day 37,0.0,,A-1-Q,N,,>2 Yr <= 3 Yr,Central Bank,,Treasury,2026-06-02,Bank,Y,20097.048,Callable,N,100.0,56573.982,Y,Y,,,,,,,,,,,,,,,
