Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-03-29,I.A.1,CHF,N,SP-1,7992135000000.0,17484546500000.0,Day 45,0.0,,CB-3-Q,N,Held-to-Maturity,>3 Yr <= 4 Yr,Central Bank,ENTITY-12,Commercial Banking,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-29,I.A.2,USD,Y,SP-9,18123162000000.0,4352383500000.0,75 - 82 Days,24862001500000.0,Day 41,S-1-Q,N,Trading Asset,Perpetual,Central Bank,ENTITY-03,Wealth Management,2026-06-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-29,I.A.3,USD,Y,SP-5,1037150500000.0,20861072000000.0,Day 51,0.0,,S-3-Q,Y,Not Applicable,>5 Yr,Derivatives,ENTITY-13,Commercial Banking,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-29,I.A.4,USD,N,SP-2,24092189500000.0,10685746500000.0,Day 32,0.0,,S-4,N,Held-to-Maturity,Perpetual,Central Bank,ENTITY-03,Markets,2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-29,I.A.5,USD,Y,SP-9,4811714000000.0,5764926000000.0,Day 17,0.0,,A-3-Q,N,Held-to-Maturity,Day 30,Repo,ENTITY-19,Wealth Management,2026-04-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-29,I.A.6,USD,Y,SP-5,14948485500000.0,17634878500000.0,Day 45,0.0,,IG-2,N,Trading Asset,121 - 150 Days,Securities Lending,ENTITY-13,Commercial Banking,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-29,I.A.7,CAD,N,SP-8,22370373500000.0,4597730000000.0,Day 59,9022528500000.0,Day 19,S-7,N,Trading Asset,Open,Securities Lending,ENTITY-12,Treasury,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.1,USD,N,,,,>4 Yr <= 5 Yr,23442.346,Day 1,,,,Day 30,Repo,ENTITY-07,Markets,2030-04-19,Sovereign,N,26754.989,Callable,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.2,USD,Y,,,,Day 28,0.0,,,,,>3 Yr <= 4 Yr,Repo,ENTITY-19,Treasury,2026-04-26,Other Supranational,Y,17827.961,Extendable,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.3,USD,Y,,,,Day 27,0.0,,,,,>2 Yr <= 3 Yr,Securities Lending,ENTITY-20,Retail Banking,2026-04-25,Retail,Y,23324.144,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.4,USD,Y,,,,180 - 270 Days,0.0,,,,,271 - 364 Days,NULL,,Prime Brokerage,2026-10-26,PSE,Y,9586.92,Extendable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.5,SGD,N,,,,Day 51,0.0,,,,,180 - 270 Days,Securities Lending,ENTITY-19,Retail Banking,2026-05-19,Other Supranational,N,11178.902,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.6,HKD,N,,,,Day 25,0.0,,,,,>2 Yr <= 3 Yr,FHLB,ENTITY-09,Prime Brokerage,2026-04-23,Other Supervised Non-Bank Financial Entity,N,10360.057,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.7,EUR,N,,,,Day 22,33257.833,Day 29,,,,>5 Yr,Securities Lending,ENTITY-11,Markets,2026-04-20,MDB,N,13723.181,Puttable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-29,I.U.8,USD,Y,,,,Day 12,0.0,,,,,Perpetual,Repo,ENTITY-20,Wealth Management,2026-04-10,Debt Issuing SPE,N,19220.527,Callable,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.1,CAD,N,SP-6,,,Day 1,299783700000.0,Day 50,A-1-Q,Y,,Day 1,Securities Lending,ENTITY-13,Wealth Management,2026-03-30,Bank,N,1493660550000.0,Extendable,Y,150.0,2241938850000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.2,USD,Y,SP-1,,,Day 3,0.0,,G-2-Q,Y,,>4 Yr <= 5 Yr,Repo,,Markets,2026-04-01,Bank,N,95896800000.0,Callable,N,0.0,1905361450000.0,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.3,CNY,N,SP-7,,,Day 32,0.0,,S-1-Q,Y,,Day 1,Central Bank,,Treasury,2026-04-30,Bank,N,2147539350000.0,Callable,N,50.0,1348571750000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.4,USD,N,SP-3,,,Day 10,0.0,,G-2-Q,N,,Day 60,FHLB,,Retail Banking,2026-04-08,Bank,N,2442443250000.0,Callable,N,150.0,436113350000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.5,SGD,N,SP-4,,,151 - 179 Days,1419711150000.0,>2 Yr <= 3 Yr,S-1-Q,N,,>4 Yr <= 5 Yr,Other,ENTITY-02,Treasury,2026-09-04,Bank,Y,1780396500000.0,Extendable,Y,150.0,1465066900000.0,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.6,CNY,N,SP-1,,,Day 42,0.0,,G-2-Q,Y,,Day 1,Derivatives,,Retail Banking,2026-05-10,Bank,Y,460161950000.0,Extendable,N,0.0,494960450000.0,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.7,SGD,N,SP-2,,,Day 32,0.0,,S-1-Q,N,,Day 60,NULL,ENTITY-02,Treasury,2026-04-30,Investment Company or Advisor,Y,60663750000.0,Puttable,Y,50.0,530558000000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.8,CNY,N,SP-5,,,Day 36,1533670550000.0,Day 26,A-1-Q,Y,,Day 90,Securities Lending,,Wealth Management,2026-05-04,Bank,Y,171318800000.0,NULL,N,50.0,2282178800000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.9,USD,Y,SP-8,,,>3 Yr <= 4 Yr,0.0,,G-2-Q,N,,151 - 179 Days,FHLB,ENTITY-03,Commercial Banking,2029-04-02,Bank,Y,1406412300000.0,Extendable,Y,150.0,2070945550000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-29,I.S.10,USD,Y,SP-9,,,Day 46,463050750000.0,Day 10,S-1-Q,N,,Day 30,NULL,,Markets,2026-05-14,Bank,N,1506159100000.0,NULL,N,50.0,1066503000000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.1,USD,Y,,,,83 - 90 Days,0.0,,S-7,Y,,,,ENTITY-06,Wealth Management,2026-06-27,Other Supranational,N,18449.941,,Y,,10547.866,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.1,USD,Y,,,,Day 50,0.0,,Z-1,Y,,,,,Markets,2026-05-18,Debt Issuing SPE,Y,10850.144,,N,,38750.123,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.2,EUR,N,,,,180 - 270 Days,0.0,,A-5,Y,,,,,Treasury,2026-11-30,Non-Financial Corporate,N,30471.72,,N,,38271.378,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.2,USD,Y,,,,Day 4,0.0,,CB-2-Q,Y,,,,,Retail Banking,2026-04-02,Other Supervised Non-Bank Financial Entity,N,12442.482,,N,,20649.314,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.2,USD,Y,,,,61 - 67 Days,0.0,,G-3,Y,,,,,Markets,2026-05-29,MDB,N,17971.799,,N,,27086.154,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.3,CNY,N,,,,Day 12,0.0,,G-2-Q,Y,,,,,Markets,2026-04-10,Central Bank,N,22575.383,,N,,8816.91,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.4,USD,Y,,,,Day 18,28619.78,Day 51,S-2,Y,,,,ENTITY-04,Wealth Management,2026-04-16,Bank,Y,10663.931,,Y,,23608.751,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.4,AUD,N,,,,Day 53,0.0,,P-2,N,,,,,Retail Banking,2026-05-21,Debt Issuing SPE,N,45490.82,,N,,12560.116,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.4,USD,Y,,,,Day 54,0.0,,A-5-Q,N,,,,ENTITY-01,Retail Banking,2026-05-22,Retail,N,48185.065,,Y,,4720.728,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.4,AUD,N,,,,Day 18,0.0,,CB-1-Q,Y,,,,ENTITY-09,Commercial Banking,2026-04-16,Other,Y,5844.577,,Y,,45665.978,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.5,CNY,N,,,,Day 60,0.0,,S-2-Q,Y,,,,,Commercial Banking,2026-05-28,Non-Financial Corporate,N,18697.213,,N,,36228.822,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.5,USD,Y,,,,Day 60,0.0,,IG-2-Q,N,,,,ENTITY-05,Commercial Banking,2026-05-28,Other Supranational,Y,38916.458,,Y,,2.519,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.5,JPY,N,,,,Day 37,0.0,,G-1-Q,N,,,,,Commercial Banking,2026-05-05,Sovereign,N,11543.953,,N,,33374.076,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.6,EUR,N,,,,271 - 364 Days,0.0,,E-2-Q,N,,,,ENTITY-01,Treasury,2027-03-18,Other,N,45188.085,,Y,,47192.189,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.6,USD,N,,,,Day 23,0.0,,S-1-Q,Y,,,,,Markets,2026-04-21,Broker-Dealer,N,4720.466,,N,,8040.82,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.6,CNY,N,,,,Day 7,0.0,,S-2-Q,Y,,,,,Retail Banking,2026-04-05,Non-Regulated Fund,N,26872.572,,N,,4555.596,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.6,USD,Y,,,,Day 13,0.0,,IG-2-Q,N,,,,,Markets,2026-04-11,Small Business,Y,21733.411,,N,,49769.488,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.7,CAD,N,,,,Day 12,14301.605,Day 46,IG-2,N,,,,,Wealth Management,2026-04-10,MDB,N,16855.975,,N,,19172.329,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.7,USD,Y,,,,271 - 364 Days,0.0,,A-3,N,,,,,Treasury,2027-03-25,Broker-Dealer,Y,22122.382,,N,,20300.995,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.7,USD,Y,,,,Day 10,0.0,,E-2-Q,Y,,,,,Treasury,2026-04-08,GSE,Y,18803.64,,N,,21852.103,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.7,GBP,N,,,,Day 32,0.0,,S-6,N,,,,,Treasury,2026-04-30,PSE,N,36487.87,,N,,17038.019,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.8,USD,Y,,,,Day 36,0.0,,IG-1-Q,N,,,,ENTITY-11,Retail Banking,2026-05-04,Retail,Y,18753.097,,Y,,35477.925,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.8,GBP,N,,,,Day 6,0.0,,IG-2,Y,,,,,Markets,2026-04-04,Bank,Y,37253.102,,N,,4069.802,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.8,USD,Y,,,,Day 46,0.0,,G-1-Q,Y,,,,ENTITY-11,Retail Banking,2026-05-14,Non-Regulated Fund,N,24546.891,,Y,,19871.543,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.8,USD,Y,,,,>2 Yr <= 3 Yr,0.0,,LC-2,N,,,,,Commercial Banking,2028-09-01,Broker-Dealer,N,28913.298,,N,,31878.277,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.9,CHF,N,,,,Perpetual,0.0,,A-5,N,,,,,Markets,,Non-Regulated Fund,N,10761.66,,N,,3205.388,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.9,USD,Y,,,,Day 42,40261.582,Day 16,CB-4,N,,,,ENTITY-05,Treasury,2026-05-10,GSE,Y,15351.453,,Y,,43183.709,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-29,I.O.9,USD,Y,,,,>5 Yr,0.0,,G-2,N,,,,,Markets,2036-01-06,Central Bank,Y,34944.196,,N,,16013.241,,,,,,,,,,,,,,,,,
Outflows,Wholesale,USWest,2026-03-29,O.W.1,SGD,N,,,,Day 1,0.0,,A-4-Q,,,,,ENTITY-10,Commercial Banking,2026-03-30,Bank,Y,4295174600000.0,NULL,Y,,4194620200000.0,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,USWest,2026-03-29,O.W.2,USD,Y,,,,>4 Yr <= 5 Yr,0.0,,S-1,,,,,,Commercial Banking,2030-05-07,Bank,N,2109452400000.0,NULL,N,,1683789300000.0,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,USWest,2026-03-29,O.W.3,SGD,N,,,,>4 Yr <= 5 Yr,0.0,,S-3,,,,,ENTITY-10,Markets,2031-02-05,Bank,N,4139177300000.0,Extendable,Y,,804595200000.0,,,TLAC,,,,,,,,,,,,,,
