Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-04-30,I.A.1,SGD,N,SP-6,3505.611,8347.755,Day 56,38818.563,Day 50,CB-3,N,Held-to-Maturity,Day 90,NULL,ENTITY-16,Retail Banking,2026-06-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-30,I.A.2,CHF,N,SP-4,136.23,26004.182,Day 23,0.0,,G-2-Q,Y,Not Applicable,121 - 150 Days,Other,ENTITY-06,Commercial Banking,2026-05-23,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-30,I.A.3,CAD,N,SP-1,14091.015,43854.699,Day 18,0.0,,CB-2,Y,Available-for-Sale,>2 Yr <= 3 Yr,Repo,ENTITY-18,Commercial Banking,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-30,I.A.4,SGD,N,SP-3,16004.356,28889.154,Day 39,0.0,,CB-1-Q,N,Held-to-Maturity,151 - 179 Days,Central Bank,ENTITY-15,Prime Brokerage,2026-06-08,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-30,I.A.5,USD,Y,SP-3,33109.866,41607.28,Day 47,0.0,,A-3-Q,Y,Held-to-Maturity,271 - 364 Days,Repo,ENTITY-20,Commercial Banking,2026-06-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-30,I.A.6,AUD,N,SP-1,23641.822,36998.16,>3 Yr <= 4 Yr,10023.312,83 - 90 Days,S-1-Q,Y,Not Applicable,Day 90,Derivatives,ENTITY-04,Commercial Banking,2029-12-14,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-30,I.A.7,USD,Y,SP-8,13350.862,23957.875,91 - 120 Days,0.0,,A-0-Q,N,Held-to-Maturity,>3 Yr <= 4 Yr,Derivatives,ENTITY-17,Commercial Banking,2026-08-09,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.1,USD,Y,,,,Day 22,12241.162,151 - 179 Days,,,,Open,Other,ENTITY-08,Prime Brokerage,2026-05-22,Other,N,14082.845,Extendable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.2,GBP,N,,,,Day 3,0.0,,,,,Perpetual,Central Bank,ENTITY-18,Prime Brokerage,2026-05-03,Central Bank,N,34729.953,Extendable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.3,EUR,N,,,,Day 54,0.0,,,,,Day 90,Other,ENTITY-08,Commercial Banking,2026-06-23,Retail,Y,13669.627,Puttable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.4,USD,Y,,,,Day 45,0.0,,,,,>5 Yr,Securities Lending,ENTITY-01,Markets,2026-06-14,Other Supranational,N,19521.886,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.5,USD,Y,,,,Day 41,0.0,,,,,>2 Yr <= 3 Yr,NULL,,Wealth Management,2026-06-10,GSE,Y,3541.137,Extendable,N,238.31,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.6,JPY,N,,,,Day 47,11825.044,Day 2,,,,>4 Yr <= 5 Yr,FHLB,ENTITY-04,Markets,2026-06-16,Financial Market Utility,N,11967.014,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-30,I.U.7,USD,Y,,,,Day 60,0.0,,,,,121 - 150 Days,NULL,ENTITY-19,Markets,2026-06-29,Pension Fund,N,49009.509,Callable,Y,150.0,,,,,,,,,,,,,,,,,,
