Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-02-01,I.A.1,HKD,N,SP-2,34153.702,4955.387,Day 38,0.0,,S-5-Q,Y,Available-for-Sale,Perpetual,Repo,ENTITY-11,Commercial Banking,2026-03-11,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-02-01,I.A.2,AUD,N,SP-8,43482.709,19253.926,271 - 364 Days,0.0,,S-8,N,Trading Asset,121 - 150 Days,FHLB,ENTITY-03,Markets,2026-12-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-02-01,I.A.3,HKD,N,SP-8,37169.997,7371.056,Day 22,0.0,,S-5,Y,Trading Asset,Perpetual,Central Bank,ENTITY-18,Wealth Management,2026-02-23,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-02-01,I.A.4,USD,Y,SP-6,6764.256,5209.27,Day 31,0.0,,A-0-Q,Y,Not Applicable,Day 1,FHLB,ENTITY-20,Prime Brokerage,2026-03-04,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-02-01,I.A.5,USD,Y,SP-6,24800.249,35907.438,Day 55,16967.913,Day 22,LC-2,Y,Available-for-Sale,180 - 270 Days,Repo,ENTITY-18,Wealth Management,2026-03-28,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-02-01,I.A.6,CAD,N,SP-4,23100.864,28222.355,Day 16,0.0,,E-1,N,Not Applicable,Open,FHLB,ENTITY-16,Treasury,2026-02-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-02-01,I.A.7,USD,Y,SP-1,10300.314,14086.086,Day 2,0.0,,CB-3,N,Not Applicable,91 - 120 Days,Securities Lending,ENTITY-08,Prime Brokerage,2026-02-03,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.1,USD,N,,,,Day 57,0.0,,,,,91 - 120 Days,Derivatives,ENTITY-16,Prime Brokerage,2026-03-30,MDB,Y,47355.262,Extendable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.2,USD,Y,,,,Day 32,0.0,,,,,>4 Yr <= 5 Yr,Securities Lending,,Prime Brokerage,2026-03-05,Other Supervised Non-Bank Financial Entity,N,6773.511,NULL,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.3,HKD,N,,,,>5 Yr,0.0,,,,,Day 1,FHLB,,Markets,2031-11-05,Other,N,38658.941,NULL,N,17.37,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.4,USD,Y,,,,91 - 120 Days,0.0,,,,,>4 Yr <= 5 Yr,FHLB,,Retail Banking,2026-05-03,Broker-Dealer,N,33489.083,Callable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.5,USD,N,,,,Day 23,0.0,,,,,>4 Yr <= 5 Yr,FHLB,,Markets,2026-02-24,Retail,N,18180.144,Callable,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.6,USD,Y,,,,Day 23,0.0,,,,,>= 1 Yr <= 2 Yr,Other,,Treasury,2026-02-24,Non-Financial Corporate,Y,569.4,Extendable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.7,USD,Y,,,,68 - 74 Days,0.0,,,,,271 - 364 Days,FHLB,,Markets,2026-04-12,Other,Y,45461.911,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-02-01,I.U.8,USD,Y,,,,Day 18,0.0,,,,,Perpetual,Central Bank,,Markets,2026-02-19,Other,N,22669.553,Callable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.1,USD,Y,SP-7,,,75 - 82 Days,42659.016,Day 42,G-1-Q,Y,,Day 60,Repo,,Prime Brokerage,2026-04-18,Broker-Dealer,Y,37844.801,Callable,N,0.0,29117.848,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.2,USD,Y,SP-4,,,Day 2,0.0,,G-1-Q,Y,,>2 Yr <= 3 Yr,FHLB,,Treasury,2026-02-03,Other,N,25724.275,Callable,N,0.0,13463.86,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.3,USD,Y,SP-6,,,Day 35,10052.416,Day 53,G-1-Q,Y,,180 - 270 Days,Other,,Commercial Banking,2026-03-08,Broker-Dealer,N,28486.213,NULL,N,50.0,20694.488,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.4,USD,Y,SP-4,,,Day 3,0.0,,A-1-Q,N,,91 - 120 Days,Other,,Wealth Management,2026-02-04,Broker-Dealer,N,19033.184,Callable,N,100.0,42079.06,N,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.5,USD,Y,SP-7,,,Perpetual,0.0,,CB-1-Q,Y,,Day 60,Derivatives,ENTITY-20,Commercial Banking,,Broker-Dealer,Y,53254.076,Callable,Y,0.0,16451.47,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.6,AUD,N,SP-3,,,>3 Yr <= 4 Yr,0.0,,G-1-Q,N,,91 - 120 Days,Central Bank,ENTITY-01,Treasury,2029-08-05,Broker-Dealer,N,24299.255,Extendable,Y,150.0,41182.434,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.7,GBP,N,SP-9,,,75 - 82 Days,0.0,,A-1-Q,N,,Day 60,Derivatives,ENTITY-05,Wealth Management,2026-04-22,Bank,N,30303.218,Extendable,Y,50.0,8004.16,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.8,EUR,N,SP-7,,,Day 15,0.0,,G-1-Q,N,,271 - 364 Days,Repo,,Wealth Management,2026-02-16,Other,N,45754.693,Extendable,N,20.0,56463.786,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.9,USD,N,SP-3,,,Day 3,0.0,,CB-1-Q,Y,,>4 Yr <= 5 Yr,Other,ENTITY-17,Commercial Banking,2026-02-04,Broker-Dealer,N,5551.694,Puttable,Y,0.0,34168.256,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-02-01,I.S.10,USD,Y,SP-7,,,Day 38,442.805,271 - 364 Days,A-1-Q,Y,,>2 Yr <= 3 Yr,Repo,,Treasury,2026-03-11,Broker-Dealer,Y,48242.255,NULL,N,50.0,32153.276,N,Y,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-02-01,I.O.1,JPY,N,,,,83 - 90 Days,0.0,,E-1-Q,Y,,,,ENTITY-15,Prime Brokerage,2026-04-26,GSE,N,28231.008,,Y,,11921.516,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-02-01,I.O.2,JPY,N,,,,68 - 74 Days,0.0,,C-1,Y,,,,,Commercial Banking,2026-04-16,PSE,Y,37995.729,,N,,9192.789,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-02-01,I.O.3,USD,Y,,,,151 - 179 Days,8418.861,>4 Yr <= 5 Yr,IG-2,N,,,,,Retail Banking,2026-07-26,Debt Issuing SPE,Y,22564.829,,N,,38863.134,,,,,,,,,,,,,,,,,
